# Codage des entrees de dictionnaire (organismes, antibiotiques, levures).
# Cle: category + dict_entry. status: proposed|validated.
# Codes SNOMED CT prerremplis (status=proposed) -> A VALIDER par un biologiste
# avant de passer status a validated. Un code vide = non code (a completer).
category;dict_entry;loinc;snomed;status
Bacteriology Antibiotics;Penicillin G 1unit-Penicillins;;764146007;proposed
Bacteriology Antibiotics;Piperacillin 30μg-Penicillins;;373304005;proposed
Bacteriology Antibiotics;Piperacillin/Tazobactam 30/6μg-Beta-lactam+Inhibitors;;;proposed
Bacteriology Antibiotics;Rifampin 5μg-Ansamycins;;387159009;proposed
Bacteriology Antibiotics;Spectinomycin 100μg-Aminocyclitols;;;proposed
Bacteriology Antibiotics;Teicoplanin 30μg-Glycopeptides;;373533001;proposed
Bacteriology Antibiotics;Tetracycline 30μg-Tetracyclines;;;proposed
Bacteriology Antibiotics;Ticarcillin 75μg-Penicillins;;373326006;proposed
Bacteriology Antibiotics;Ticarcillin/Clavulanic acid 75/10-15μg-Beta-lactam+Inhibitors;;;proposed
Bacteriology Antibiotics;Tigecycline 15μg-Tetracyclines;;424423007;proposed
Bacteriology Antibiotics;Tobramycin 10μg-Aminoglycosides;;372520008;proposed
Bacteriology Antibiotics;Trimethoprim 5μg-Folate pathway inhibitors;;373461002;proposed
Bacteriology Antibiotics;Trimethoprim/Sulfamethoxazole 1.25/23.75μg-Folate pathway inhibitors;;;proposed
Bacteriology Antibiotics;Vancomycin 5μg-Glycopeptides;;372735009;proposed
Therapeutic Antibiotics;AMIKACIN;;372515007;proposed
Therapeutic Antibiotics;AMOXICILLIN;;372687004;proposed
Therapeutic Antibiotics;AMOXICILLIN-CLAVULANIC ACID;;;proposed
Therapeutic Antibiotics;AMPICILLIN;;34014006;proposed
Therapeutic Antibiotics;AZITHROMYCIN;;387531004;proposed
Therapeutic Antibiotics;BENZYLPENICILLIN;;764146007;proposed
Therapeutic Antibiotics;CEFAZOLIN;;;proposed
Therapeutic Antibiotics;CEFEPIME;;372733002;proposed
Therapeutic Antibiotics;CEFIXIME;;372715009;proposed
Therapeutic Antibiotics;CEFOTAXIME;;387533001;proposed
Therapeutic Antibiotics;CEFTAZIDIME;;373528004;proposed
Therapeutic Antibiotics;CEFTRIAXONE;;373510001;proposed
Therapeutic Antibiotics;CEFUROXIME;;;proposed
Therapeutic Antibiotics;CIPROFLOXACIN;;372840008;proposed
Therapeutic Antibiotics;CLARITHROMYCIN;;;proposed
Therapeutic Antibiotics;CLINDAMYCIN;;372582002;proposed
Therapeutic Antibiotics;CLOXACILLIN;;;proposed
Therapeutic Antibiotics;COLISTIN;;108682003;proposed
Therapeutic Antibiotics;DOXYCYCLINE;;;proposed
Therapeutic Antibiotics;ERTAPENEM;;409306008;proposed
Therapeutic Antibiotics;ERYTHROMYCIN;;372590004;proposed
Therapeutic Antibiotics;FLUCLOXACILLIN;;;proposed
Therapeutic Antibiotics;FOSFOMYCIN;;108699000;proposed
Therapeutic Antibiotics;FUSIDIC ACID;;371765003;proposed
Therapeutic Antibiotics;GENTAMICIN;;372510001;proposed
Therapeutic Antibiotics;IMIPENEM;;65183007;proposed
Therapeutic Antibiotics;LEVOFLOXACIN;;372623005;proposed
Therapeutic Antibiotics;LINEZOLID;;;proposed
Therapeutic Antibiotics;MEROPENEM;;387012009;proposed
Therapeutic Antibiotics;METRONIDAZOLE;;372602008;proposed
Therapeutic Antibiotics;MINOCYCLINE;;372587003;proposed
Therapeutic Antibiotics;MOXIFLOXACIN;;373568002;proposed
Therapeutic Antibiotics;NETILMICIN;;372513000;proposed
Therapeutic Antibiotics;NITROFURANTOIN;;371489001;proposed
Therapeutic Antibiotics;NORFLOXACIN;;372695000;proposed
Therapeutic Antibiotics;OFLOXACIN;;372699006;proposed
Therapeutic Antibiotics;PIPERACILLIN-TAZOBACTAM;;;proposed
Therapeutic Antibiotics;RIFAMPICIN;;387159009;proposed
Therapeutic Antibiotics;SPIRAMYCIN;;;proposed
Therapeutic Antibiotics;TEICOPLANIN;;373533001;proposed
Therapeutic Antibiotics;TETRACYCLINE;;372809008;proposed
Therapeutic Antibiotics;TICARCILLIN-CLAVULANIC ACID;;;proposed
Therapeutic Antibiotics;TOBRAMYCIN;;372520008;proposed
Therapeutic Antibiotics;TRIMETHOPRIM;;373461002;proposed
Therapeutic Antibiotics;TRIMETHOPRIM-SULFAMETHOXAZOLE;;;proposed
Therapeutic Antibiotics;VANCOMYCIN;;372735009;proposed
Yeasts;Candida albicans;;53326005;proposed
Yeasts;Candida glabrata;;444877006;proposed
Yeasts;Candida krusei;;16452009;proposed
Yeasts;Candida parapsilosis;;61302002;proposed
Yeasts;Candida tropicalis;;47885008;proposed
Yeasts;Saccharomyces cerevisiae;;58296003;proposed
Bacteria;Abiotrophia Adiacens;;;proposed
Bacteria;Abiotrophia Defectiva;;;proposed
Bacteria;Abiotrophia Sp;;;proposed
Bacteria;Acetivibrio Sp;;;proposed
Bacteria;Acetobacterium Sp;;;proposed
Bacteria;Acholeplasma Sp;;;proposed
Bacteria;Achromobacter Denitrificans;;;proposed
Bacteria;Achromobacter Piechaudii;;;proposed
Bacteria;Achromobacter Sp;;;proposed
Bacteria;Achromobacter Xylosoxidans Ss Xylosoxidans;;;proposed
Bacteria;Acidaminococcus Fermentans;;;proposed
Bacteria;Acidaminococcus Sp;;;proposed
Bacteria;Acidovorax Delafieldii;;;proposed
Bacteria;Acidovorax Facilis;;;proposed
Bacteria;Acidovorax Sp;;;proposed
Bacteria;Acidovorax Temperans;;;proposed
Bacteria;Acinetobacter baumannii;;40733004;proposed
Bacteria;Acinetobacter Baumannii;;40733004;proposed
Bacteria;Acinetobacter Baylyi;;;proposed
Bacteria;Acinetobacter Bereziniae;;;proposed
Bacteria;Acinetobacter Calcoaceticus;;83744009;proposed
Bacteria;Acinetobacter Dijkshoorniae;;;proposed
Bacteria;Acinetobacter Guillouiae;;;proposed
Bacteria;Acinetobacter Haemolyticus;;47456002;proposed
Bacteria;Acinetobacter Johnsonii;;;proposed
Bacteria;Acinetobacter Junii;;;proposed
Bacteria;Acinetobacter Lactucae;;;proposed
Bacteria;Acinetobacter Lwoffii;;63968007;proposed
Bacteria;Acinetobacter Nosocomialis;;;proposed
Bacteria;Acinetobacter Parvus;;;proposed
Bacteria;Acinetobacter Pittii;;;proposed
Bacteria;Acinetobacter Radioresistens;;;proposed
Bacteria;Acinetobacter Schindleri;;;proposed
Bacteria;Acinetobacter Seifertii;;;proposed
Bacteria;Acinetobacter Sp;;;proposed
Bacteria;Acinetobacter Ursingii;;;proposed
Bacteria;Actinobacillus Actinomycetemcomitans;;;proposed
Bacteria;Actinobacillus Equuli;;;proposed
Bacteria;Actinobacillus Lignieresii;;;proposed
Bacteria;Actinobacillus Pleuropneumoniae;;;proposed
Bacteria;Actinobacillus Seminis;;;proposed
Bacteria;Actinobacillus Sp;;;proposed
Bacteria;Actinobacillus Suis;;;proposed
Bacteria;Actinobacillus Ureae;;;proposed
Bacteria;Actinobaculum Suis;;;proposed
Bacteria;Actinomadura Madurae;;;proposed
Bacteria;Actinomadura Sp;;;proposed
Bacteria;Actinomyces Bernardiae;;;proposed
Bacteria;Actinomyces Bovis;;;proposed
Bacteria;Actinomyces Georgiae;;;proposed
Bacteria;Actinomyces Gerencseriae;;;proposed
Bacteria;Actinomyces Israelii;;60686002;proposed
Bacteria;Actinomyces Meyeri;;;proposed
Bacteria;Actinomyces Naeslundii;;;proposed
Bacteria;Actinomyces Neuii Ss Anitratus;;;proposed
Bacteria;Actinomyces Neuii Ss Neuii;;;proposed
Bacteria;Actinomyces Odontolyticus;;;proposed
Bacteria;Actinomyces Pyogenes;;;proposed
Bacteria;Actinomyces Sp;;;proposed
Bacteria;Actinomyces Turicensis;;;proposed
Bacteria;Actinomyces Viscosus;;;proposed
Bacteria;Aerococcus Sp;;;proposed
Bacteria;Aerococcus Urinae;;;proposed
Bacteria;Aerococcus Viridans;;;proposed
Bacteria;Aeromonas Caviae;;34418006;proposed
Bacteria;Aeromonas Dhakensis;;;proposed
Bacteria;Aeromonas Enteropelogenes;;;proposed
Bacteria;Aeromonas Eucrenophila;;;proposed
Bacteria;Aeromonas Hydrophila;;30783005;proposed
Bacteria;Aeromonas Jandaei;;;proposed
Bacteria;Aeromonas Media;;;proposed
Bacteria;Aeromonas Punctata;;;proposed
Bacteria;Aeromonas Punctata Ss Punctata;;;proposed
Bacteria;Aeromonas Salmonicida;;;proposed
Bacteria;Aeromonas Schubertii;;;proposed
Bacteria;Aeromonas Sobria;;64726006;proposed
Bacteria;Aeromonas Sp;;;proposed
Bacteria;Aeromonas Trota;;;proposed
Bacteria;Aeromonas Veronii;;;proposed
Bacteria;Aeromonas Veronii Biovar Sobria;;;proposed
Bacteria;Aeromonas Veronii Biovar Veronii;;;proposed
Bacteria;Afipia Broomeae;;;proposed
Bacteria;Afipia Clevelandensis;;;proposed
Bacteria;Afipia Felis;;;proposed
Bacteria;Afipia Sp;;;proposed
Bacteria;Aggregatibacter Actinomycetemcomitans;;;proposed
Bacteria;Aggregatibacter Aphrophilus;;;proposed
Bacteria;Aggregatibacter Segnis;;;proposed
Bacteria;Aggregatibacter Sp;;;proposed
Bacteria;Agrobacterium Radiobacter;;;proposed
Bacteria;Agrobacterium Sp;;;proposed
Bacteria;Alcaligenes Piechaudii;;;proposed
Bacteria;Alcaligenes Sp;;;proposed
Bacteria;Alcaligenes Xylosoxidans;;;proposed
Bacteria;Alcaligenes Xylosoxidans Ss Denitrificans;;;proposed
Bacteria;Alcaligenes Xylosoxidans Ss Xylosoxidans;;;proposed
Bacteria;Aliivibrio Sp;;;proposed
Bacteria;Alistipes Putredinis;;;proposed
Bacteria;Alloiococcus Otitis;;;proposed
Bacteria;Alloiococcus Sp;;;proposed
Bacteria;Alteromonas Hanedai;;;proposed
Bacteria;Alteromonas Sp;;;proposed
Bacteria;Alysiella Sp;;;proposed
Bacteria;Anaerobiospirillum Sp;;;proposed
Bacteria;Anaerobiospirillum Succiniciproducens;;;proposed
Bacteria;Anaerococcus Degeneri;;;proposed
Bacteria;Anaerococcus Hydrogenalis;;;proposed
Bacteria;Anaerococcus Lactolyticus;;;proposed
Bacteria;Anaerococcus Prevotii;;;proposed
Bacteria;Anaerococcus Sp;;;proposed
Bacteria;Anaerococcus Tetradius;;;proposed
Bacteria;Anaerococcus Vaginalis;;;proposed
Bacteria;Anaerorhabdus Furcosa;;;proposed
Bacteria;Anaerorhabdus Sp;;;proposed
Bacteria;Anaerovibrio Sp;;;proposed
Bacteria;Anaplasma Centrale;;;proposed
Bacteria;Anaplasma Marginale;;;proposed
Bacteria;Anaplasma Mesaeterum;;;proposed
Bacteria;Anaplasma Ovis;;;proposed
Bacteria;Anaplasma Phagocytophilum;;;proposed
Bacteria;Anaplasma Sp;;;proposed
Bacteria;Arachnia Propionica;;;proposed
Bacteria;Arcanobacterium Bernardiae;;;proposed
Bacteria;Arcanobacterium Haemolyticum;;;proposed
Bacteria;Arcanobacterium Pyogenes;;;proposed
Bacteria;Arcanobacterium Sp;;;proposed
Bacteria;Arcobacter Butzleri;;;proposed
Bacteria;Arcobacter Cryaerophilus;;;proposed
Bacteria;Arcobacter Nitrofigilis;;;proposed
Bacteria;Arcobacter Sp;;;proposed
Bacteria;Arthrobacter Sp;;;proposed
Bacteria;Asaccharospora Irregularis;;;proposed
Bacteria;Atopobium Minutum;;;proposed
Bacteria;Atopobium Parvulum;;;proposed
Bacteria;Atopobium Rimae;;;proposed
Bacteria;Atopobium Sp;;;proposed
Bacteria;Aureobacterium Sp;;;proposed
Bacteria;Avibacterium Avium;;;proposed
Bacteria;Avibacterium Gallinarum;;;proposed
Bacteria;Avibacterium Paragallinarum;;;proposed
Bacteria;Avibacterium Sp;;;proposed
Bacteria;Avibacterium Volantium;;;proposed
Bacteria;Azospirillum Brasilense;;;proposed
Bacteria;Bacillus Alvei;;;proposed
Bacteria;Bacillus Anthracis;;55011009;proposed
Bacteria;Bacillus Brevis;;;proposed
Bacteria;Bacillus Cereus;;30122001;proposed
Bacteria;Bacillus Circulans;;;proposed
Bacteria;Bacillus Coagulans;;;proposed
Bacteria;Bacillus Firmus;;;proposed
Bacteria;Bacillus Laterosporus;;;proposed
Bacteria;Bacillus Lentus;;;proposed
Bacteria;Bacillus Licheniformis;;;proposed
Bacteria;Bacillus Macerans;;;proposed
Bacteria;Bacillus Megaterium;;;proposed
Bacteria;Bacillus Mycoides;;;proposed
Bacteria;Bacillus Pantothenticus;;;proposed
Bacteria;Bacillus Polymyxa;;;proposed
Bacteria;Bacillus Pumilus;;;proposed
Bacteria;Bacillus Sp;;;proposed
Bacteria;Bacillus Sphaericus;;;proposed
Bacteria;Bacillus Stearothermophilus;;;proposed
Bacteria;Bacillus Subtilis;;64604001;proposed
Bacteria;Bacillus Thuringiensis;;;proposed
Bacteria;Bacteroides Asaccharolyticus;;;proposed
Bacteria;Bacteroides Bivius;;;proposed
Bacteria;Bacteroides Buccae;;;proposed
Bacteria;Bacteroides Buccalis;;;proposed
Bacteria;Bacteroides Caccae;;;proposed
Bacteria;Bacteroides Capillosus;;;proposed
Bacteria;Bacteroides Coagulans;;;proposed
Bacteria;Bacteroides Corporis;;;proposed
Bacteria;Bacteroides Denticola;;;proposed
Bacteria;Bacteroides Disiens;;;proposed
Bacteria;Bacteroides Distasonis;;;proposed
Bacteria;Bacteroides Eggerthii;;;proposed
Bacteria;Bacteroides Endodontalis;;;proposed
Bacteria;Bacteroides Forsythus;;;proposed
Bacteria;Bacteroides Fragilis;;35441002;proposed
Bacteria;Bacteroides Furcosus;;;proposed
Bacteria;Bacteroides Gingivalis;;;proposed
Bacteria;Bacteroides Gracilis;;;proposed
Bacteria;Bacteroides Intermedius;;;proposed
Bacteria;Bacteroides Levii;;;proposed
Bacteria;Bacteroides Loescheii;;;proposed
Bacteria;Bacteroides Nordii;;;proposed
Bacteria;Bacteroides Ochraceus;;;proposed
Bacteria;Bacteroides Oralis;;;proposed
Bacteria;Bacteroides Oris;;;proposed
Bacteria;Bacteroides Ovatus;;;proposed
Bacteria;Bacteroides Pneumosintes;;;proposed
Bacteria;Bacteroides Putredinis;;;proposed
Bacteria;Bacteroides Pyogenes;;;proposed
Bacteria;Bacteroides Ruminicola;;;proposed
Bacteria;Bacteroides Ruminicola Ss Brevis;;;proposed
Bacteria;Bacteroides Ruminicola Ss Ruminicola;;;proposed
Bacteria;Bacteroides Sp;;;proposed
Bacteria;Bacteroides Splanchnicus;;;proposed
Bacteria;Bacteroides Stercoris;;;proposed
Bacteria;Bacteroides Tectum;;;proposed
Bacteria;Bacteroides Thetaiotaomicron;;;proposed
Bacteria;Bacteroides Uniformis;;;proposed
Bacteria;Bacteroides Ureolyticus;;;proposed
Bacteria;Bacteroides Vulgatus;;;proposed
Bacteria;Bartonella Bacilliformis;;;proposed
Bacteria;Bartonella Elizabethae;;;proposed
Bacteria;Bartonella Henselae;;53997004;proposed
Bacteria;Bartonella Quintana;;;proposed
Bacteria;Bartonella Sp;;;proposed
Bacteria;Bergeriella Denitrificans;;;proposed
Bacteria;Bergeyella Sp;;;proposed
Bacteria;Bergeyella Zoohelcum;;;proposed
Bacteria;Bibersteinia Trehalosi;;;proposed
Bacteria;Bifidobacterium Adolescentis;;;proposed
Bacteria;Bifidobacterium Bifidum;;;proposed
Bacteria;Bifidobacterium Breve;;;proposed
Bacteria;Bifidobacterium Catenulatum;;;proposed
Bacteria;Bifidobacterium Coryneforme;;;proposed
Bacteria;Bifidobacterium Dentium;;;proposed
Bacteria;Bifidobacterium Infantis;;;proposed
Bacteria;Bifidobacterium Longum;;;proposed
Bacteria;Bifidobacterium Longum Infantis;;;proposed
Bacteria;Bifidobacterium Magnum;;;proposed
Bacteria;Bifidobacterium Pseudolongum;;;proposed
Bacteria;Bifidobacterium Sp;;;proposed
Bacteria;Bilophila Sp;;;proposed
Bacteria;Bilophila Wadsworthia;;;proposed
Bacteria;Blautia Hansenii;;;proposed
Bacteria;Blautia Producta;;;proposed
Bacteria;Bordetella Avium;;;proposed
Bacteria;Bordetella Bronchiseptica;;74403009;proposed
Bacteria;Bordetella Hinzii;;;proposed
Bacteria;Bordetella Holmesii;;;proposed
Bacteria;Bordetella Parapertussis;;47135001;proposed
Bacteria;Bordetella Pertussis;;5247005;proposed
Bacteria;Bordetella Sp;;;proposed
Bacteria;Borrelia Afzelii;;;proposed
Bacteria;Borrelia Anserina;;;proposed
Bacteria;Borrelia Burgdorferi;;72904005;proposed
Bacteria;Borrelia Duttonii;;;proposed
Bacteria;Borrelia Garinii;;;proposed
Bacteria;Borrelia Hermsii;;;proposed
Bacteria;Borrelia Parkeri;;;proposed
Bacteria;Borrelia Recurrentis;;;proposed
Bacteria;Borrelia Sp;;;proposed
Bacteria;Borrelia Turicatae;;;proposed
Bacteria;Brachyspira;;;proposed
Bacteria;Brachyspira Aalborgi;;;proposed
Bacteria;Brachyspira Alvinipulli;;;proposed
Bacteria;Brachyspira Hyodysenteriae;;;proposed
Bacteria;Brachyspira Intermedia;;;proposed
Bacteria;Brachyspira Pilosicoli;;;proposed
Bacteria;Brachyspira Sp;;;proposed
Bacteria;Branhamella Catarrhalis;;113845004;proposed
Bacteria;Branhamella Sp;;;proposed
Bacteria;Brevibacillus Brevis;;;proposed
Bacteria;Brevibacillus Laterosporus;;;proposed
Bacteria;Brevibacterium Acetylicum;;;proposed
Bacteria;Brevibacterium Casei;;;proposed
Bacteria;Brevibacterium Epidermidis;;;proposed
Bacteria;Brevibacterium Mcbrellneri;;;proposed
Bacteria;Brevibacterium Sp;;;proposed
Bacteria;Brevundimonas Diminuta;;;proposed
Bacteria;Brevundimonas Sp;;;proposed
Bacteria;Brevundimonas Vesicularis;;;proposed
Bacteria;Brochothrix Sp;;;proposed
Bacteria;Brucella Melintensis Biovar Ovis;;;proposed
Bacteria;Brucella Melitensis;;45118002;proposed
Bacteria;Brucella Ovis;;;proposed
Bacteria;Brucella Sp;;;proposed
Bacteria;Budvicia Aquatica;;;proposed
Bacteria;Budvicia Sp;;;proposed
Bacteria;Burkholderia Ambifaria Genomovar Vii;;;proposed
Bacteria;Burkholderia Anthina Genomovar Viii;;;proposed
Bacteria;Burkholderia Cenocepacia Genomovar Iii;;;proposed
Bacteria;Burkholderia Cepacia;;41229009;proposed
Bacteria;Burkholderia Cepacia Complex;;;proposed
Bacteria;Burkholderia Dolosa Genomovar Vi;;;proposed
Bacteria;Burkholderia Gladioli;;;proposed
Bacteria;Burkholderia Mallei;;55402005;proposed
Bacteria;Burkholderia Multivorans Genomovar Ii;;;proposed
Bacteria;Burkholderia Pickettii;;;proposed
Bacteria;Burkholderia Pseudomallei;;35729003;proposed
Bacteria;Burkholderia Pyrrocinia Genomovar Ix;;;proposed
Bacteria;Burkholderia Sp;;;proposed
Bacteria;Burkholderia Stabilis Genomovar Iv;;;proposed
Bacteria;Burkholderia Ubonensis Genomovar X;;;proposed
Bacteria;Burkholderia Vietnamiensis Genomovar V;;;proposed
Bacteria;Buttiauxella Ferragutiae;;;proposed
Bacteria;Buttiauxella Gaviniae;;;proposed
Bacteria;Buttiauxella Noackiae;;;proposed
Bacteria;Buttiauxella Sp;;;proposed
Bacteria;Butyrivibrio Sp;;;proposed
Bacteria;Calymmatobacterium Granulomatis;;;proposed
Bacteria;Calymmatobacterium Sp;;;proposed
Bacteria;Campylobacter Coli;;59616005;proposed
Bacteria;Campylobacter Concisus;;;proposed
Bacteria;Campylobacter Curvus;;;proposed
Bacteria;Campylobacter Fennelliae;;;proposed
Bacteria;Campylobacter Fetus Ss Fetus;;;proposed
Bacteria;Campylobacter Fetus Ss Venerealis;;;proposed
Bacteria;Campylobacter Gracilis;;;proposed
Bacteria;Campylobacter Hyointestinalis;;;proposed
Bacteria;Campylobacter Jejuni;;66543000;proposed
Bacteria;Campylobacter Jejuni Biotype1;;;proposed
Bacteria;Campylobacter Jejuni Biotype2;;;proposed
Bacteria;Campylobacter Jejuni Ss Doylei;;;proposed
Bacteria;Campylobacter Jejuni Ss Jejuni;;;proposed
Bacteria;Campylobacter Mucosalis;;;proposed
Bacteria;Campylobacter Rectus;;;proposed
Bacteria;Campylobacter Showae;;;proposed
Bacteria;Campylobacter Sp;;;proposed
Bacteria;Campylobacter Sputorum;;;proposed
Bacteria;Campylobacter Sputorum Ss Bubulus;;;proposed
Bacteria;Campylobacter Sputorum Ss Sputorum;;;proposed
Bacteria;Campylobacter Upsaliensis;;;proposed
Bacteria;Campylobacter Ureolyticus;;;proposed
Bacteria;Capnocytophaga Canimorsus;;;proposed
Bacteria;Capnocytophaga Cynodegmi;;;proposed
Bacteria;Capnocytophaga Gingivalis;;;proposed
Bacteria;Capnocytophaga Granulosa;;;proposed
Bacteria;Capnocytophaga Haemolytica;;;proposed
Bacteria;Capnocytophaga Ochracea;;;proposed
Bacteria;Capnocytophaga Sp;;;proposed
Bacteria;Capnocytophaga Sputigena;;;proposed
Bacteria;Capsularis Sp;;;proposed
Bacteria;Cardiobacterium Hominis;;;proposed
Bacteria;Cardiobacterium Sp;;;proposed
Bacteria;Carnobacterium Maltaromaticum;;;proposed
Bacteria;Carnobacterium Sp;;;proposed
Bacteria;Caryophanon Sp;;;proposed
Bacteria;Catonella Morbi;;;proposed
Bacteria;Catonella Sp;;;proposed
Bacteria;Cdc Df3;;;proposed
Bacteria;Cdc Ef5;;;proposed
Bacteria;Cdc Enteric Group59;;;proposed
Bacteria;Cdc Enteric Group63;;;proposed
Bacteria;Cdc Enteric Group64;;;proposed
Bacteria;Cedecea Davisae;;;proposed
Bacteria;Cedecea Lapagei;;;proposed
Bacteria;Cedecea Neteri;;;proposed
Bacteria;Cedecea Sp;;;proposed
Bacteria;Cellulomonas Sp;;;proposed
Bacteria;Cellulomonas Turbata;;;proposed
Bacteria;Cellulosimicrobium Cellulans;;;proposed
Bacteria;Cellulosimicrobium Sp;;;proposed
Bacteria;Centipeda Periodontii;;;proposed
Bacteria;Centipeda Sp;;;proposed
Bacteria;Cetobacterium Somerae;;;proposed
Bacteria;Cetobacterium Sp;;;proposed
Bacteria;Chlamydia Abortus;;;proposed
Bacteria;Chlamydia Felis;;;proposed
Bacteria;Chlamydia Pneumoniae;;58038003;proposed
Bacteria;Chlamydia Psittaci;;62880007;proposed
Bacteria;Chlamydia Sp;;;proposed
Bacteria;Chlamydia Trachomatis;;63938009;proposed
Bacteria;Chlamydophila Abortus;;;proposed
Bacteria;Chlamydophila Felis;;;proposed
Bacteria;Chlamydophila Pecorum;;;proposed
Bacteria;Chlamydophila Pneumoniae;;58038003;proposed
Bacteria;Chlamydophila Psittaci;;62880007;proposed
Bacteria;Chlamydophila Sp;;;proposed
Bacteria;Chromobacterium Sp;;;proposed
Bacteria;Chromobacterium Violaceum;;28884001;proposed
Bacteria;Chryseobacterium Arthrosphaerae;;;proposed
Bacteria;Chryseobacterium Gleum;;;proposed
Bacteria;Chryseobacterium Indologenes;;;proposed
Bacteria;Chryseobacterium Meningosepticum;;;proposed
Bacteria;Chryseobacterium Sp;;;proposed
Bacteria;Chryseomonas Luteola;;;proposed
Bacteria;Chryseomonas Sp;;;proposed
Bacteria;Citrobacter Amalonaticus;;;proposed
Bacteria;Citrobacter Amalonaticus Group;;;proposed
Bacteria;Citrobacter Braakii;;;proposed
Bacteria;Citrobacter Diversus;;64268001;proposed
Bacteria;Citrobacter Farmeri;;;proposed
Bacteria;Citrobacter Freundii;;50841009;proposed
Bacteria;Citrobacter Genomospecies9;;;proposed
Bacteria;Citrobacter Gillenii;;;proposed
Bacteria;Citrobacter Koseri;;54276004;proposed
Bacteria;Citrobacter Murliniae;;;proposed
Bacteria;Citrobacter Rodentium;;;proposed
Bacteria;Citrobacter Sedlakii;;;proposed
Bacteria;Citrobacter Sp;;;proposed
Bacteria;Citrobacter Werkmanii;;;proposed
Bacteria;Citrobacter Youngae;;;proposed
Bacteria;Clavibacter Michiganensis Michiganensis;;;proposed
Bacteria;Clavibacter Michiganensis Ss Michiganensis;;;proposed
Bacteria;Clavibacter Sp;;;proposed
Bacteria;Clostridioides Difficile;;62617009;proposed
Bacteria;Clostridioides Difficile Toxin Nonproducing;;;proposed
Bacteria;Clostridioides Difficile Toxin Producing;;;proposed
Bacteria;Clostridioides Sp;;;proposed
Bacteria;Clostridium Absonum;;;proposed
